Appointment_Date,Total_Appointments,No_Show,Day_Index
2023-01-01,56,15,0
2023-01-02,58,16,1
2023-01-03,55,16,2
2023-01-04,51,11,3
2023-01-05,81,15,4
2023-01-06,68,16,5
2023-01-07,69,11,6
2023-01-08,59,10,7
2023-01-09,59,16,8
2023-01-10,59,20,9
2023-01-11,56,17,10
2023-01-12,60,13,11
2023-01-13,52,18,12
2023-01-14,62,15,13
2023-01-15,47,13,14
2023-01-16,58,20,15
2023-01-17,60,14,16
2023-01-18,74,18,17
2023-01-19,53,13,18
2023-01-20,68,15,19
2023-01-21,63,16,20
2023-01-22,63,10,21
2023-01-23,58,18,22
2023-01-24,63,15,23
2023-01-25,59,15,24
2023-01-26,59,17,25
2023-01-27,70,16,26
2023-01-28,61,16,27
2023-01-29,66,18,28
2023-01-30,67,18,29
2023-01-31,59,13,30
2023-02-01,51,17,31
2023-02-02,42,13,32
2023-02-03,47,13,33
2023-02-04,56,15,34
2023-02-05,62,14,35
2023-02-06,59,10,36
2023-02-07,57,17,37
2023-02-08,53,12,38
2023-02-09,47,12,39
2023-02-10,55,19,40
2023-02-11,53,14,41
2023-02-12,66,20,42
2023-02-13,73,14,43
2023-02-14,73,20,44
2023-02-15,52,14,45
2023-02-16,70,17,46
2023-02-17,48,6,47
2023-02-18,43,15,48
2023-02-19,42,10,49
2023-02-20,59,18,50
2023-02-21,73,19,51
2023-02-22,46,14,52
2023-02-23,61,15,53
2023-02-24,55,14,54
2023-02-25,66,19,55
2023-02-26,63,21,56
2023-02-27,67,14,57
2023-02-28,54,11,58
2023-03-01,62,16,59
2023-03-02,46,9,60
2023-03-03,57,13,61
2023-03-04,59,10,62
2023-03-05,56,17,63
2023-03-06,53,12,64
2023-03-07,57,14,65
2023-03-08,49,13,66
2023-03-09,68,16,67
2023-03-10,62,15,68
2023-03-11,67,17,69
2023-03-12,56,13,70
2023-03-13,61,17,71
2023-03-14,53,13,72
2023-03-15,46,7,73
2023-03-16,56,17,74
2023-03-17,65,10,75
2023-03-18,48,10,76
2023-03-19,60,13,77
2023-03-20,68,21,78
2023-03-21,51,17,79
2023-03-22,72,22,80
2023-03-23,58,17,81
2023-03-24,60,13,82
2023-03-25,56,17,83
2023-03-26,57,18,84
2023-03-27,51,14,85
2023-03-28,57,17,86
2023-03-29,52,17,87
2023-03-30,67,20,88
2023-03-31,61,24,89
2023-04-01,53,12,90
2023-04-02,57,13,91
2023-04-03,53,9,92
2023-04-04,56,16,93
2023-04-05,70,16,94
2023-04-06,64,16,95
2023-04-07,47,16,96
2023-04-08,68,24,97
2023-04-09,61,13,98
2023-04-10,68,26,99
2023-04-11,45,12,100
2023-04-12,63,14,101
2023-04-13,65,16,102
2023-04-14,67,12,103
2023-04-15,67,14,104
2023-04-16,75,24,105
2023-04-17,58,18,106
2023-04-18,57,13,107
2023-04-19,53,15,108
2023-04-20,58,10,109
2023-04-21,56,18,110
2023-04-22,45,9,111
2023-04-23,55,17,112
2023-04-24,45,11,113
2023-04-25,58,14,114
2023-04-26,60,11,115
2023-04-27,43,8,116
2023-04-28,63,14,117
2023-04-29,72,22,118
2023-04-30,53,11,119
2023-05-01,66,15,120
2023-05-02,51,6,121
2023-05-03,46,6,122
2023-05-04,60,13,123
2023-05-05,54,10,124
2023-05-06,58,14,125
2023-05-07,49,14,126
2023-05-08,54,13,127
2023-05-09,56,17,128
2023-05-10,64,13,129
2023-05-11,41,5,130
2023-05-12,64,17,131
2023-05-13,53,16,132
2023-05-14,61,17,133
2023-05-15,48,15,134
2023-05-16,67,14,135
2023-05-17,39,10,136
2023-05-18,59,15,137
2023-05-19,54,16,138
2023-05-20,58,16,139
2023-05-21,60,16,140
2023-05-22,56,20,141
2023-05-23,55,11,142
2023-05-24,50,12,143
2023-05-25,60,16,144
2023-05-26,56,11,145
2023-05-27,51,10,146
2023-05-28,46,14,147
