Doctor_ID,Specialty
47.0,General
25.0,General
2.0,General
18.0,General
15.0,General
30.0,General
40.0,General
7.0,General
37.0,General
39.0,General
14.0,General
24.0,General
4.0,General
38.0,General
33.0,General
27.0,General
31.0,General
26.0,General
5.0,General
12.0,General
10.0,General
45.0,General
29.0,General
9.0,General
19.0,General
35.0,General
28.0,General
13.0,General
22.0,General
17.0,General
16.0,General
46.0,General
44.0,General
21.0,General
43.0,General
34.0,General
32.0,General
41.0,General
6.0,General
3.0,General
8.0,General
42.0,General
49.0,General
11.0,General
23.0,General
20.0,General
1.0,General
48.0,General
36.0,General
